SourceRow;WorkerID;Prefix_ASC;ActualBlock2;CalcBlock2;Block2_OK;P12_Actual;P12_Calc;P12_Delta;P13_Actual;P13_Calc;P13_Delta;P14_Actual;P14_Calc;P14_Delta;P15_Actual;P15_Calc;P15_Delta;P16_Actual;P16_Calc;P16_Delta;P17_Actual;P17_Calc;P17_Delta;P18_Actual;P18_Calc;P18_Delta;P19_Actual;P19_Calc;P19_Delta;P20_Actual;P20_Calc;P20_Delta;P21_Actual;P21_Calc;P21_Delta;P22_Actual;P22_Calc;P22_Delta;;SOUHRN;
99;2T00000101;39;1E1P2N1N1O1N1O1N1O1N1O;1E1P2N1N1O1N1O1N1O1N1O;PRAVDA;50;50;0;61;61;0;95;95;0;59;59;0;60;60;0;59;59;0;60;60;0;59;59;0;60;60;0;59;59;0;60;60;0;;;
100;3M60000101;39;1E1Q2G1T1N1O1N1O1P1N1O;1E1Q2G1T1N1O1N1O1P1N1O;PRAVDA;50;50;0;62;62;0;88;88;0;65;65;0;59;59;0;60;60;0;59;59;0;60;60;0;61;61;0;59;59;0;60;60;0;;;
101;BXDRJ00101;39;1E252R272L2D1N1O1P1N1O;1E252R272L2D1N1O1P1N1O;PRAVDA;50;50;0;77;77;0;99;99;0;79;79;0;93;93;0;85;85;0;59;59;0;60;60;0;61;61;0;59;59;0;60;60;0;;;
102;N800000101;39;1E2H1V1N1O1N1O1N1O1N1O;1E2H1V1N1O1N1O1N1O1N1O;PRAVDA;50;50;0;89;89;0;67;67;0;59;59;0;60;60;0;59;59;0;60;60;0;59;59;0;60;60;0;59;59;0;60;60;0;;;
103;NGLOJ00101;39;1E2H2A2F2I2D1N1O1P1N1O;1E2H2A2F2I2D1N1O1P1N1O;PRAVDA;50;50;0;89;89;0;82;82;0;87;87;0;90;90;0;85;85;0;59;59;0;60;60;0;61;61;0;59;59;0;60;60;0;;;
104;R3YRJ00101;39;1E2L1Q2S2L2D1N1O1P1N1O;1E2L1Q2S2L2D1N1O1P1N1O;PRAVDA;50;50;0;93;93;0;62;62;0;100;100;0;93;93;0;85;85;0;59;59;0;60;60;0;61;61;0;59;59;0;60;60;0;;;
105;U100000101;39;1E2O1O1N1O1N1O1N1O1N1O;1E2O1O1N1O1N1O1N1O1N1O;PRAVDA;50;50;0;96;96;0;60;60;0;59;59;0;60;60;0;59;59;0;60;60;0;59;59;0;60;60;0;59;59;0;60;60;0;;;
106;VI8YJ00101;39;1E2P2C1V2S2D1N1O1P1N1O;1E2P2C1V2S2D1N1O1P1N1O;PRAVDA;50;50;0;97;97;0;84;84;0;67;67;0;100;100;0;85;85;0;59;59;0;60;60;0;61;61;0;59;59;0;60;60;0;;;
107;1BD0000101;40;1G1P26281O1P1O1P1Q1O1P;1G1P26281O1P1O1P1Q1O1P;PRAVDA;52;52;0;61;61;0;78;78;0;80;80;0;60;60;0;61;61;0;60;60;0;61;61;0;62;62;0;60;60;0;61;61;0;;;
108;1CC0000101;40;1G1P27281O1P1O1P1Q1O1P;1G1P27281O1P1O1P1Q1O1P;PRAVDA;52;52;0;61;61;0;79;79;0;80;80;0;60;60;0;61;61;0;60;60;0;61;61;0;62;62;0;60;60;0;61;61;0;;;
109;1DB0000101;40;1G1P28261O1P1O1P1Q1O1P;1G1P28261O1P1O1P1Q1O1P;PRAVDA;52;52;0;61;61;0;80;80;0;78;78;0;60;60;0;61;61;0;60;60;0;61;61;0;62;62;0;60;60;0;61;61;0;;;
110;1EA0000101;40;1G1P29251O1P1O1P1Q1O1P;1G1P29251O1P1O1P1Q1O1P;PRAVDA;52;52;0;61;61;0;81;81;0;77;77;0;60;60;0;61;61;0;60;60;0;61;61;0;62;62;0;60;60;0;61;61;0;;;
111;1O70000101;40;1G1P2J1V1O1P1O1P1Q1O1P;1G1P2J1V1O1P1O1P1Q1O1P;PRAVDA;52;52;0;61;61;0;91;91;0;67;67;0;60;60;0;61;61;0;60;60;0;61;61;0;62;62;0;60;60;0;61;61;0;;;
112;1P60000101;40;1G1P2K1U1O1P1O1P1Q1O1P;1G1P2K1U1O1P1O1P1Q1O1P;PRAVDA;52;52;0;61;61;0;92;92;0;66;66;0;60;60;0;61;61;0;60;60;0;61;61;0;62;62;0;60;60;0;61;61;0;;;
113;1Q50000101;40;1G1P2L1T1O1P1O1P1Q1O1P;1G1P2L1T1O1P1O1P1Q1O1P;PRAVDA;52;52;0;61;61;0;93;93;0;65;65;0;60;60;0;61;61;0;60;60;0;61;61;0;62;62;0;60;60;0;61;61;0;;;
114;1S30000101;40;1G1P2N1R1O1P1O1P1Q1O1P;1G1P2N1R1O1P1O1P1Q1O1P;PRAVDA;52;52;0;61;61;0;95;95;0;63;63;0;60;60;0;61;61;0;60;60;0;61;61;0;62;62;0;60;60;0;61;61;0;;;
115;3O50000101;40;1G1R2J1T1O1P1O1P1Q1O1P;1G1R2J1T1O1P1O1P1Q1O1P;PRAVDA;52;52;0;63;63;0;91;91;0;65;65;0;60;60;0;61;61;0;60;60;0;61;61;0;62;62;0;60;60;0;61;61;0;;;
116;6YPRJ00101;40;1G1U2T2K2M2E1O1P1Q1O1P;1G1U2T2K2M2E1O1P1Q1O1P;PRAVDA;52;52;0;66;66;0;101;101;0;92;92;0;94;94;0;86;86;0;60;60;0;61;61;0;62;62;0;60;60;0;61;61;0;;;
117;8YNRJ00101;40;1G1W2T2I2M2E1O1P1Q1O1P;1G1W2T2I2M2E1O1P1Q1O1P;PRAVDA;52;52;0;68;68;0;101;101;0;90;90;0;94;94;0;86;86;0;60;60;0;61;61;0;62;62;0;60;60;0;61;61;0;;;
118;CXDRJ00101;40;1G272S282M2E1O1P1Q1O1P;1G272S282M2E1O1P1Q1O1P;PRAVDA;52;52;0;79;79;0;100;100;0;80;80;0;94;94;0;86;86;0;60;60;0;61;61;0;62;62;0;60;60;0;61;61;0;;;
119;N900000101;40;1G2I1X1O1P1O1P1O1P1O1P;1G2I1X1O1P1O1P1O1P1O1P;PRAVDA;52;52;0;90;90;0;69;69;0;60;60;0;61;61;0;60;60;0;61;61;0;60;60;0;61;61;0;60;60;0;61;61;0;;;
120;OGLOJ00101;40;1G2J2B2G2J2E1O1P1Q1O1P;1G2J2B2G2J2E1O1P1Q1O1P;PRAVDA;52;52;0;91;91;0;83;83;0;88;88;0;91;91;0;86;86;0;60;60;0;61;61;0;62;62;0;60;60;0;61;61;0;;;
121;PDQLJ00101;40;1G2K282L2G2E1O1P1Q1O1P;1G2K282L2G2E1O1P1Q1O1P;PRAVDA;52;52;0;92;92;0;80;80;0;93;93;0;88;88;0;86;86;0;60;60;0;61;61;0;62;62;0;60;60;0;61;61;0;;;
122;S3YRJ00101;40;1G2N1R2T2M2E1O1P1Q1O1P;1G2N1R2T2M2E1O1P1Q1O1P;PRAVDA;52;52;0;95;95;0;63;63;0;101;101;0;94;94;0;86;86;0;60;60;0;61;61;0;62;62;0;60;60;0;61;61;0;;;
123;SFLLJ00101;40;1G2N2A2G2H2E1O1P1Q1O1P;1G2N2A2G2H2E1O1P1Q1O1P;PRAVDA;52;52;0;95;95;0;82;82;0;88;88;0;89;89;0;86;86;0;60;60;0;61;61;0;62;62;0;60;60;0;61;61;0;;;
124;T300000101;40;1G2O1R1O1P1O1P1O1P1O1P;1G2O1R1O1P1O1P1O1P1O1P;PRAVDA;52;52;0;96;96;0;63;63;0;60;60;0;61;61;0;60;60;0;61;61;0;60;60;0;61;61;0;60;60;0;61;61;0;;;
125;V100000101;40;1G2Q1P1O1P1O1P1O1P1O1P;1G2Q1P1O1P1O1P1O1P1O1P;PRAVDA;52;52;0;98;98;0;61;61;0;60;60;0;61;61;0;60;60;0;61;61;0;60;60;0;61;61;0;60;60;0;61;61;0;;;
126;WI8YJ00101;40;1G2R2D1W2T2E1O1P1Q1O1P;1G2R2D1W2T2E1O1P1Q1O1P;PRAVDA;52;52;0;99;99;0;85;85;0;68;68;0;101;101;0;86;86;0;60;60;0;61;61;0;62;62;0;60;60;0;61;61;0;;;
127;1DC0000101;41;1I1Q29281P1Q1P1Q1R1P1Q;1I1Q29281P1Q1P1Q1R1P1Q;PRAVDA;54;54;0;62;62;0;81;81;0;80;80;0;61;61;0;62;62;0;61;61;0;62;62;0;63;63;0;61;61;0;62;62;0;;;
128;1EB0000101;41;1I1Q2A271P1Q1P1Q1R1P1Q;1I1Q2A271P1Q1P1Q1R1P1Q;PRAVDA;54;54;0;62;62;0;82;82;0;79;79;0;61;61;0;62;62;0;61;61;0;62;62;0;63;63;0;61;61;0;62;62;0;;;
129;1FA0000101;41;1I1Q2B261P1Q1P1Q1R1P1Q;1I1Q2B261P1Q1P1Q1R1P1Q;PRAVDA;54;54;0;62;62;0;83;83;0;78;78;0;61;61;0;62;62;0;61;61;0;62;62;0;63;63;0;61;61;0;62;62;0;;;
130;1N90000101;41;1I1Q2J1Y1P1Q1P1Q1R1P1Q;1I1Q2J1Y1P1Q1P1Q1R1P1Q;PRAVDA;54;54;0;62;62;0;91;91;0;70;70;0;61;61;0;62;62;0;61;61;0;62;62;0;63;63;0;61;61;0;62;62;0;;;
131;1P70000101;41;1I1Q2L1W1P1Q1P1Q1R1P1Q;1I1Q2L1W1P1Q1P1Q1R1P1Q;PRAVDA;54;54;0;62;62;0;93;93;0;68;68;0;61;61;0;62;62;0;61;61;0;62;62;0;63;63;0;61;61;0;62;62;0;;;
132;1Q60000101;41;1I1Q2M1V1P1Q1P1Q1R1P1Q;1I1Q2M1V1P1Q1P1Q1R1P1Q;PRAVDA;54;54;0;62;62;0;94;94;0;67;67;0;61;61;0;62;62;0;61;61;0;62;62;0;63;63;0;61;61;0;62;62;0;;;
133;1R50000101;41;1I1Q2N1U1P1Q1P1Q1R1P1Q;1I1Q2N1U1P1Q1P1Q1R1P1Q;PRAVDA;54;54;0;62;62;0;95;95;0;66;66;0;61;61;0;62;62;0;61;61;0;62;62;0;63;63;0;61;61;0;62;62;0;;;
134;1U20000101;41;1I1Q2Q1R1P1Q1P1Q1R1P1Q;1I1Q2Q1R1P1Q1P1Q1R1P1Q;PRAVDA;54;54;0;62;62;0;98;98;0;63;63;0;61;61;0;62;62;0;61;61;0;62;62;0;63;63;0;61;61;0;62;62;0;;;
135;1W00000101;41;1I1Q2S1P1Q1P1Q1P1Q1P1Q;1I1Q2S1P1Q1P1Q1P1Q1P1Q;PRAVDA;54;54;0;62;62;0;100;100;0;61;61;0;62;62;0;61;61;0;62;62;0;61;61;0;62;62;0;61;61;0;62;62;0;;;
136;2BD0000101;41;1I1R27291P1Q1P1Q1R1P1Q;1I1R27291P1Q1P1Q1R1P1Q;PRAVDA;54;54;0;63;63;0;79;79;0;81;81;0;61;61;0;62;62;0;61;61;0;62;62;0;63;63;0;61;61;0;62;62;0;;;
137;2N80000101;41;1I1R2J1X1P1Q1P1Q1R1P1Q;1I1R2J1X1P1Q1P1Q1R1P1Q;PRAVDA;54;54;0;63;63;0;91;91;0;69;69;0;61;61;0;62;62;0;61;61;0;62;62;0;63;63;0;61;61;0;62;62;0;;;
138;2P60000101;41;1I1R2L1V1P1Q1P1Q1R1P1Q;1I1R2L1V1P1Q1P1Q1R1P1Q;PRAVDA;54;54;0;63;63;0;93;93;0;67;67;0;61;61;0;62;62;0;61;61;0;62;62;0;63;63;0;61;61;0;62;62;0;;;
139;2T20000101;41;1I1R2P1R1P1Q1P1Q1R1P1Q;1I1R2P1R1P1Q1P1Q1R1P1Q;PRAVDA;54;54;0;63;63;0;97;97;0;63;63;0;61;61;0;62;62;0;61;61;0;62;62;0;63;63;0;61;61;0;62;62;0;;;
140;4S10000101;41;1I1T2O1Q1P1Q1P1Q1R1P1Q;1I1T2O1Q1P1Q1P1Q1R1P1Q;PRAVDA;54;54;0;65;65;0;96;96;0;62;62;0;61;61;0;62;62;0;61;61;0;62;62;0;63;63;0;61;61;0;62;62;0;;;
141;6L60000101;41;1I1V2H1V1P1Q1P1Q1R1P1Q;1I1V2H1V1P1Q1P1Q1R1P1Q;PRAVDA;54;54;0;67;67;0;89;89;0;67;67;0;61;61;0;62;62;0;61;61;0;62;62;0;63;63;0;61;61;0;62;62;0;;;
142;6UOXJ00101;41;1I1V2Q2K2T2F1P1Q1R1P1Q;1I1V2Q2K2T2F1P1Q1R1P1Q;PRAVDA;54;54;0;67;67;0;98;98;0;92;92;0;101;101;0;87;87;0;61;61;0;62;62;0;63;63;0;61;61;0;62;62;0;;;
143;9UQSJ00101;41;1I1Y2Q2M2O2F1P1Q1R1P1Q;1I1Y2Q2M2O2F1P1Q1R1P1Q;PRAVDA;54;54;0;70;70;0;98;98;0;94;94;0;96;96;0;87;87;0;61;61;0;62;62;0;63;63;0;61;61;0;62;62;0;;;
144;IWEMJ00101;41;1I2E2S2A2I2F1P1Q1R1P1Q;1I2E2S2A2I2F1P1Q1R1P1Q;PRAVDA;54;54;0;86;86;0;100;100;0;82;82;0;90;90;0;87;87;0;61;61;0;62;62;0;63;63;0;61;61;0;62;62;0;;;
145;LHEYJ00101;41;1I2H2D2A2U2F1P1Q1R1P1Q;1I2H2D2A2U2F1P1Q1R1P1Q;PRAVDA;54;54;0;89;89;0;85;85;0;82;82;0;102;102;0;87;87;0;61;61;0;62;62;0;63;63;0;61;61;0;62;62;0;;;
146;OBPQJ00101;41;1I2K272L2M2F1P1Q1R1P1Q;1I2K272L2M2F1P1Q1R1P1Q;PRAVDA;54;54;0;92;92;0;79;79;0;93;93;0;94;94;0;87;87;0;61;61;0;62;62;0;63;63;0;61;61;0;62;62;0;;;
147;T3YRJ00101;41;1I2P1S2U2N2F1P1Q1R1P1Q;1I2P1S2U2N2F1P1Q1R1P1Q;PRAVDA;54;54;0;97;97;0;64;64;0;102;102;0;95;95;0;87;87;0;61;61;0;62;62;0;63;63;0;61;61;0;62;62;0;;;
148;V200000101;41;1I2R1R1P1Q1P1Q1P1Q1P1Q;1I2R1R1P1Q1P1Q1P1Q1P1Q;PRAVDA;54;54;0;99;99;0;63;63;0;61;61;0;62;62;0;61;61;0;62;62;0;61;61;0;62;62;0;61;61;0;62;62;0;;;
149;1DD0000101;42;1K1R2A2B1Q1R1Q1R1S1Q1R;1K1R2A2B1Q1R1Q1R1S1Q1R;PRAVDA;56;56;0;63;63;0;82;82;0;83;83;0;62;62;0;63;63;0;62;62;0;63;63;0;64;64;0;62;62;0;63;63;0;;;
150;1EC0000101;42;1K1R2B291Q1R1Q1R1S1Q1R;1K1R2B291Q1R1Q1R1S1Q1R;PRAVDA;56;56;0;63;63;0;83;83;0;81;81;0;62;62;0;63;63;0;62;62;0;63;63;0;64;64;0;62;62;0;63;63;0;;;
151;1GA0000101;42;1K1R2D271Q1R1Q1R1S1Q1R;1K1R2D271Q1R1Q1R1S1Q1R;PRAVDA;56;56;0;63;63;0;85;85;0;79;79;0;62;62;0;63;63;0;62;62;0;63;63;0;64;64;0;62;62;0;63;63;0;;;
152;1O90000101;42;1K1R2L1Z1Q1R1Q1R1S1Q1R;1K1R2L1Z1Q1R1Q1R1S1Q1R;PRAVDA;56;56;0;63;63;0;93;93;0;71;71;0;62;62;0;63;63;0;62;62;0;63;63;0;64;64;0;62;62;0;63;63;0;;;
153;1P80000101;42;1K1R2M1Y1Q1R1Q1R1S1Q1R;1K1R2M1Y1Q1R1Q1R1S1Q1R;PRAVDA;56;56;0;63;63;0;94;94;0;70;70;0;62;62;0;63;63;0;62;62;0;63;63;0;64;64;0;62;62;0;63;63;0;;;
154;1Q70000101;42;1K1R2N1X1Q1R1Q1R1S1Q1R;1K1R2N1X1Q1R1Q1R1S1Q1R;PRAVDA;56;56;0;63;63;0;95;95;0;69;69;0;62;62;0;63;63;0;62;62;0;63;63;0;64;64;0;62;62;0;63;63;0;;;
155;1R60000101;42;1K1R2O1W1Q1R1Q1R1S1Q1R;1K1R2O1W1Q1R1Q1R1S1Q1R;PRAVDA;56;56;0;63;63;0;96;96;0;68;68;0;62;62;0;63;63;0;62;62;0;63;63;0;64;64;0;62;62;0;63;63;0;;;
156;1S50000101;42;1K1R2P1V1Q1R1Q1R1S1Q1R;1K1R2P1V1Q1R1Q1R1S1Q1R;PRAVDA;56;56;0;63;63;0;97;97;0;67;67;0;62;62;0;63;63;0;62;62;0;63;63;0;64;64;0;62;62;0;63;63;0;;;
157;1U30000101;42;1K1R2R1T1Q1R1Q1R1S1Q1R;1K1R2R1T1Q1R1Q1R1S1Q1R;PRAVDA;56;56;0;63;63;0;99;99;0;65;65;0;62;62;0;63;63;0;62;62;0;63;63;0;64;64;0;62;62;0;63;63;0;;;
158;2FA0000101;42;1K1S2C271Q1R1Q1R1S1Q1R;1K1S2C271Q1R1Q1R1S1Q1R;PRAVDA;56;56;0;64;64;0;84;84;0;79;79;0;62;62;0;63;63;0;62;62;0;63;63;0;64;64;0;62;62;0;63;63;0;;;
159;2P70000101;42;1K1S2M1X1Q1R1Q1R1S1Q1R;1K1S2M1X1Q1R1Q1R1S1Q1R;PRAVDA;56;56;0;64;64;0;94;94;0;69;69;0;62;62;0;63;63;0;62;62;0;63;63;0;64;64;0;62;62;0;63;63;0;;;
160;2V10000101;42;1K1S2S1R1Q1R1Q1R1S1Q1R;1K1S2S1R1Q1R1Q1R1S1Q1R;PRAVDA;56;56;0;64;64;0;100;100;0;63;63;0;62;62;0;63;63;0;62;62;0;63;63;0;64;64;0;62;62;0;63;63;0;;;
161;5S10000101;42;1K1V2P1R1Q1R1Q1R1S1Q1R;1K1V2P1R1Q1R1Q1R1S1Q1R;PRAVDA;56;56;0;67;67;0;97;97;0;63;63;0;62;62;0;63;63;0;62;62;0;63;63;0;64;64;0;62;62;0;63;63;0;;;
162;U3YRJ00101;42;1K2R1T2V2O2G1Q1R1S1Q1R;1K2R1T2V2O2G1Q1R1S1Q1R;PRAVDA;56;56;0;99;99;0;65;65;0;103;103;0;96;96;0;88;88;0;62;62;0;63;63;0;64;64;0;62;62;0;63;63;0;;;
163;U400000101;42;1K2R1U1Q1R1Q1R1Q1R1Q1R;1K2R1U1Q1R1Q1R1Q1R1Q1R;PRAVDA;56;56;0;99;99;0;66;66;0;62;62;0;63;63;0;62;62;0;63;63;0;62;62;0;63;63;0;62;62;0;63;63;0;;;
164;VBLOJ00101;42;1K2S282I2L2G1Q1R1S1Q1R;1K2S282I2L2G1Q1R1S1Q1R;PRAVDA;56;56;0;100;100;0;80;80;0;90;90;0;93;93;0;88;88;0;62;62;0;63;63;0;64;64;0;62;62;0;63;63;0;;;
165;W200000101;42;1K2T1S1Q1R1Q1R1Q1R1Q1R;1K2T1S1Q1R1Q1R1Q1R1Q1R;PRAVDA;56;56;0;101;101;0;64;64;0;62;62;0;63;63;0;62;62;0;63;63;0;62;62;0;63;63;0;62;62;0;63;63;0;;;
166;1HA0000101;43;1M1S2F281R1S1R1S1T1R1S;1M1S2F281R1S1R1S1T1R1S;PRAVDA;58;58;0;64;64;0;87;87;0;80;80;0;63;63;0;64;64;0;63;63;0;64;64;0;65;65;0;63;63;0;64;64;0;;;
167;1P90000101;43;1M1S2N201R1S1R1S1T1R1S;1M1S2N201R1S1R1S1T1R1S;PRAVDA;58;58;0;64;64;0;95;95;0;72;72;0;63;63;0;64;64;0;63;63;0;64;64;0;65;65;0;63;63;0;64;64;0;;;
168;1T50000101;43;1M1S2R1W1R1S1R1S1T1R1S;1M1S2R1W1R1S1R1S1T1R1S;PRAVDA;58;58;0;64;64;0;99;99;0;68;68;0;63;63;0;64;64;0;63;63;0;64;64;0;65;65;0;63;63;0;64;64;0;;;
169;1U40000101;43;1M1S2S1V1R1S1R1S1T1R1S;1M1S2S1V1R1S1R1S1T1R1S;PRAVDA;58;58;0;64;64;0;100;100;0;67;67;0;63;63;0;64;64;0;63;63;0;64;64;0;65;65;0;63;63;0;64;64;0;;;
170;2O90000101;43;1M1T2M201R1S1R1S1T1R1S;1M1T2M201R1S1R1S1T1R1S;PRAVDA;58;58;0;65;65;0;94;94;0;72;72;0;63;63;0;64;64;0;63;63;0;64;64;0;65;65;0;63;63;0;64;64;0;;;
171;2P80000101;43;1M1T2N1Z1R1S1R1S1T1R1S;1M1T2N1Z1R1S1R1S1T1R1S;PRAVDA;58;58;0;65;65;0;95;95;0;71;71;0;63;63;0;64;64;0;63;63;0;64;64;0;65;65;0;63;63;0;64;64;0;;;
172;2S50000101;43;1M1T2Q1W1R1S1R1S1T1R1S;1M1T2Q1W1R1S1R1S1T1R1S;PRAVDA;58;58;0;65;65;0;98;98;0;68;68;0;63;63;0;64;64;0;63;63;0;64;64;0;65;65;0;63;63;0;64;64;0;;;
173;3P70000101;43;1M1U2N1Y1R1S1R1S1T1R1S;1M1U2N1Y1R1S1R1S1T1R1S;PRAVDA;58;58;0;66;66;0;95;95;0;70;70;0;63;63;0;64;64;0;63;63;0;64;64;0;65;65;0;63;63;0;64;64;0;;;
174;3V10000101;43;1M1U2T1S1R1S1R1S1T1R1S;1M1U2T1S1R1S1R1S1T1R1S;PRAVDA;58;58;0;66;66;0;101;101;0;64;64;0;63;63;0;64;64;0;63;63;0;64;64;0;65;65;0;63;63;0;64;64;0;;;
175;EXCTJ00101;43;1M2C2V2A2R2H1R1S1T1R1S;1M2C2V2A2R2H1R1S1T1R1S;PRAVDA;58;58;0;84;84;0;103;103;0;82;82;0;99;99;0;89;89;0;63;63;0;64;64;0;65;65;0;63;63;0;64;64;0;;;
176;VAONJ00101;43;1M2T282M2L2H1R1S1T1R1S;1M2T282M2L2H1R1S1T1R1S;PRAVDA;58;58;0;101;101;0;80;80;0;94;94;0;93;93;0;89;89;0;63;63;0;64;64;0;65;65;0;63;63;0;64;64;0;;;
177;X200000101;43;1M2V1T1R1S1R1S1R1S1R1S;1M2V1T1R1S1R1S1R1S1R1S;PRAVDA;58;58;0;103;103;0;65;65;0;63;63;0;64;64;0;63;63;0;64;64;0;63;63;0;64;64;0;63;63;0;64;64;0;;;
178;1GC0000101;44;1O1T2F2B1S1T1S1T1U1S1T;1O1T2F2B1S1T1S1T1U1S1T;PRAVDA;60;60;0;65;65;0;87;87;0;83;83;0;64;64;0;65;65;0;64;64;0;65;65;0;66;66;0;64;64;0;65;65;0;;;
179;1Y10000101;44;1O1T2X1T1S1T1S1T1U1S1T;1O1T2X1T1S1T1S1T1U1S1T;PRAVDA;60;60;0;65;65;0;105;105;0;65;65;0;64;64;0;65;65;0;64;64;0;65;65;0;66;66;0;64;64;0;65;65;0;;;
180;2P90000101;44;1O1U2O211S1T1S1T1U1S1T;1O1U2O211S1T1S1T1U1S1T;PRAVDA;60;60;0;66;66;0;96;96;0;73;73;0;64;64;0;65;65;0;64;64;0;65;65;0;66;66;0;64;64;0;65;65;0;;;
181;S9WRJ00101;44;1O2R212V2Q2I1S1T1U1S1T;1O2R212V2Q2I1S1T1U1S1T;PRAVDA;60;60;0;99;99;0;73;73;0;103;103;0;98;98;0;90;90;0;64;64;0;65;65;0;66;66;0;64;64;0;65;65;0;;;
182;Y200000101;44;1O2X1U1S1T1S1T1S1T1S1T;1O2X1U1S1T1S1T1S1T1S1T;PRAVDA;60;60;0;105;105;0;66;66;0;64;64;0;65;65;0;64;64;0;65;65;0;64;64;0;65;65;0;64;64;0;65;65;0;;;
183;1S80000101;45;1Q1U2S211T1U1T1U1V1T1U;1Q1U2S211T1U1T1U1V1T1U;PRAVDA;62;62;0;66;66;0;100;100;0;73;73;0;65;65;0;66;66;0;65;65;0;66;66;0;67;67;0;65;65;0;66;66;0;;;
184;1T70000101;45;1Q1U2T201T1U1T1U1V1T1U;1Q1U2T201T1U1T1U1V1T1U;PRAVDA;62;62;0;66;66;0;101;101;0;72;72;0;65;65;0;66;66;0;65;65;0;66;66;0;67;67;0;65;65;0;66;66;0;;;
185;1X30000101;45;1Q1U2X1W1T1U1T1U1V1T1U;1Q1U2X1W1T1U1T1U1V1T1U;PRAVDA;62;62;0;66;66;0;105;105;0;68;68;0;65;65;0;66;66;0;65;65;0;66;66;0;67;67;0;65;65;0;66;66;0;;;
186;1Y20000101;45;1Q1U2Y1V1T1U1T1U1V1T1U;1Q1U2Y1V1T1U1T1U1V1T1U;PRAVDA;62;62;0;66;66;0;106;106;0;67;67;0;65;65;0;66;66;0;65;65;0;66;66;0;67;67;0;65;65;0;66;66;0;;;
187;2GC0000101;45;1Q1V2G2C1T1U1T1U1V1T1U;1Q1V2G2C1T1U1T1U1V1T1U;PRAVDA;62;62;0;67;67;0;88;88;0;84;84;0;65;65;0;66;66;0;65;65;0;66;66;0;67;67;0;65;65;0;66;66;0;;;
188;2R80000101;45;1Q1V2R211T1U1T1U1V1T1U;1Q1V2R211T1U1T1U1V1T1U;PRAVDA;62;62;0;67;67;0;99;99;0;73;73;0;65;65;0;66;66;0;65;65;0;66;66;0;67;67;0;65;65;0;66;66;0;;;
189;ONIPJ00101;45;1Q2O2N2I2P2J1T1U1V1T1U;1Q2O2N2I2P2J1T1U1V1T1U;PRAVDA;62;62;0;96;96;0;95;95;0;90;90;0;97;97;0;91;91;0;65;65;0;66;66;0;67;67;0;65;65;0;66;66;0;;;
190;Z200000101;45;1Q2Z1V1T1U1T1U1T1U1T1U;1Q2Z1V1T1U1T1U1T1U1T1U;PRAVDA;62;62;0;107;107;0;67;67;0;65;65;0;66;66;0;65;65;0;66;66;0;65;65;0;66;66;0;65;65;0;66;66;0;;;
191;1T80000101;46;1S1V2U221U1V1U1V1W1U1V;1S1V2U221U1V1U1V1W1U1V;PRAVDA;64;64;0;67;67;0;102;102;0;74;74;0;66;66;0;67;67;0;66;66;0;67;67;0;68;68;0;66;66;0;67;67;0;;;
192;1U70000101;46;1S1V2V211U1V1U1V1W1U1V;1S1V2V211U1V1U1V1W1U1V;PRAVDA;64;64;0;67;67;0;103;103;0;73;73;0;66;66;0;67;67;0;66;66;0;67;67;0;68;68;0;66;66;0;67;67;0;;;
193;1X40000101;46;1S1V2Y1Y1U1V1U1V1W1U1V;1S1V2Y1Y1U1V1U1V1W1U1V;PRAVDA;64;64;0;67;67;0;106;106;0;70;70;0;66;66;0;67;67;0;66;66;0;67;67;0;68;68;0;66;66;0;67;67;0;;;
194;2JA0000101;46;1S1W2K2B1U1V1U1V1W1U1V;1S1W2K2B1U1V1U1V1W1U1V;PRAVDA;64;64;0;68;68;0;92;92;0;83;83;0;66;66;0;67;67;0;66;66;0;67;67;0;68;68;0;66;66;0;67;67;0;;;
195;3R80000101;46;1S1X2S221U1V1U1V1W1U1V;1S1X2S221U1V1U1V1W1U1V;PRAVDA;64;64;0;69;69;0;100;100;0;74;74;0;66;66;0;67;67;0;66;66;0;67;67;0;68;68;0;66;66;0;67;67;0;;;
196;6V10000101;46;1S202W1V1U1V1U1V1W1U1V;1S202W1V1U1V1U1V1W1U1V;PRAVDA;64;64;0;72;72;0;104;104;0;67;67;0;66;66;0;67;67;0;66;66;0;67;67;0;68;68;0;66;66;0;67;67;0;;;
197;QUDMJ00101;46;1S2R2V2E2N2K1U1V1W1U1V;1S2R2V2E2N2K1U1V1W1U1V;PRAVDA;64;64;0;99;99;0;103;103;0;86;86;0;95;95;0;92;92;0;66;66;0;67;67;0;68;68;0;66;66;0;67;67;0;;;
198;Z300000101;46;1S301X1U1V1U1V1U1V1U1V;1S301X1U1V1U1V1U1V1U1V;PRAVDA;64;64;0;108;108;0;69;69;0;66;66;0;67;67;0;66;66;0;67;67;0;66;66;0;67;67;0;66;66;0;67;67;0;;;
199;1JC0000101;47;1U1W2L2E1V1W1V1W1X1V1W;1U1W2L2E1V1W1V1W1X1V1W;PRAVDA;66;66;0;68;68;0;93;93;0;86;86;0;67;67;0;68;68;0;67;67;0;68;68;0;69;69;0;67;67;0;68;68;0;;;
