SourceRow;WorkerID;Prefix;Prefix_ASCII;Blok2Raw;Blok2Decoded;TailRaw;TailDecoded;TailLen;W01;W02;W03;W04;W05;W06;W07;W08;W09;W10;W01_B36;W02_B36;W03_B36;W04_B36;W05_B36;W06_B36;W07_B36;W08_B36;W09_B36;W10_B36;W01_ASC;W02_ASC;W03_ASC;W04_ASC;W05_ASC;W06_ASC;W07_ASC;W08_ASC;W09_ASC;W10_ASC;P01;P02;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P01_B36;P02_B36;P03_B36;P04_B36;P05_B36;P06_B36;P07_B36;P08_B36;P09_B36;P10_B36;P11_B36;P12_B36;P13_B36;P14_B36;P15_B36;P16_B36;P17_B36;P18_B36;P19_B36;P20_B36;P21_B36;P22_B36;P01_DEC;P02_DEC;P03_DEC;P04_DEC;P05_DEC;P06_DEC;P07_DEC;P08_DEC;P09_DEC;P10_DEC;P11_DEC;P12_DEC;P13_DEC;P14_DEC;P15_DEC;P16_DEC;P17_DEC;P18_DEC;P19_DEC;P20_DEC;P21_DEC;P22_DEC;T01;T02;T03;T04;T05;T06;T07;T08;T09;T10;T11;T01_B36;T02_B36;T03_B36;T04_B36;T05_B36;T06_B36;T07_B36;T08_B36;T09_B36;T10_B36;T11_B36;T01_DEC;T02_DEC;T03_DEC;T04_DEC;T05_DEC;T06_DEC;T07_DEC;T08_DEC;T09_DEC;T10_DEC;T11_DEC;BeforeDashTrailingChar;TailTrailingChar
144;IWEMJ00101;);41;1I2E2S2A2I2F1P1Q1R1P1Q;Uuqyv\]^\];161K121A170M0I0H0I630O0;IWEMJ5101ú7;23;I;W;E;M;J;0;0;1;0;1;18;32;14;22;19;0;0;1;0;1;73;87;69;77;74;48;48;49;48;49;0A;16;1K;12;1A;17;0H;0H;0I;0H;0I;1I;2E;2S;2A;2I;2F;1P;1Q;1R;1P;1Q;10;42;56;38;46;43;17;17;18;17;18;54;86;100;82;90;87;61;62;63;61;62;41;73;87;69;77;74;48;48;49;48;49;85;117;131;113;121;118;92;93;94;92;93;16;1K;12;1A;17;0M;0I;0H;0I;63;0O;42;56;38;46;43;22;18;17;18;219;24;73;87;69;77;74;53;49;48;49;250;55;0;0
145;LHEYJ00101;);41;1I2H2D2A2U2F1P1Q1R1P1Q;Uxtq…v\]^\];1915121M170M0I0H0I630O0;LHEYJ5101ú7;23;L;H;E;Y;J;0;0;1;0;1;21;17;14;34;19;0;0;1;0;1;76;72;69;89;74;48;48;49;48;49;0A;19;15;12;1M;17;0H;0H;0I;0H;0I;1I;2H;2D;2A;2U;2F;1P;1Q;1R;1P;1Q;10;45;41;38;58;43;17;17;18;17;18;54;89;85;82;102;87;61;62;63;61;62;41;76;72;69;89;74;48;48;49;48;49;85;120;116;113;133;118;92;93;94;92;93;19;15;12;1M;17;0M;0I;0H;0I;63;0O;45;41;38;58;43;22;18;17;18;219;24;76;72;69;89;74;53;49;48;49;250;55;0;0
146;OBPQJ00101;);41;1I2K272L2M2F1P1Q1R1P1Q;U{n|}v\]^\];1C0Z1D1E170M0I0H0I630O0;OBPQJ5101ú7;23;O;B;P;Q;J;0;0;1;0;1;24;11;25;26;19;0;0;1;0;1;79;66;80;81;74;48;48;49;48;49;0A;1C;0Z;1D;1E;17;0H;0H;0I;0H;0I;1I;2K;27;2L;2M;2F;1P;1Q;1R;1P;1Q;10;48;35;49;50;43;17;17;18;17;18;54;92;79;93;94;87;61;62;63;61;62;41;79;66;80;81;74;48;48;49;48;49;85;123;110;124;125;118;92;93;94;92;93;1C;0Z;1D;1E;17;0M;0I;0H;0I;63;0O;48;35;49;50;43;22;18;17;18;219;24;79;66;80;81;74;53;49;48;49;250;55;0;0
147;T3YRJ00101;);41;1I2P1S2U2N2F1P1Q1R1P1Q;U€_…~v\]^\];1H0K1M1F170M0I0H0I630O0;T3YRJ5101ú7;23;T;3;Y;R;J;0;0;1;0;1;29;3;34;27;19;0;0;1;0;1;84;51;89;82;74;48;48;49;48;49;0A;1H;0K;1M;1F;17;0H;0H;0I;0H;0I;1I;2P;1S;2U;2N;2F;1P;1Q;1R;1P;1Q;10;53;20;58;51;43;17;17;18;17;18;54;97;64;102;95;87;61;62;63;61;62;41;84;51;89;82;74;48;48;49;48;49;85;128;95;133;126;118;92;93;94;92;93;1H;0K;1M;1F;17;0M;0I;0H;0I;63;0O;53;20;58;51;43;22;18;17;18;219;24;84;51;89;82;74;53;49;48;49;250;55;0;0
148;V200000101;);41;1I2R1R1P1Q1P1Q1P1Q1P1Q;U‚^\]\]\]\];1J0J0V0I0H0I66100;V2>101ýC;17;V;2;0;0;0;0;0;1;0;1;31;2;0;0;0;0;0;1;0;1;86;50;48;48;48;48;48;49;48;49;0A;1J;0J;0H;0H;0H;0H;0H;0I;0H;0I;1I;2R;1R;1P;1Q;1P;1Q;1P;1Q;1P;1Q;10;55;19;17;17;17;17;17;18;17;18;54;99;63;61;62;61;62;61;62;61;62;41;86;50;48;48;48;48;48;49;48;49;85;130;94;92;93;92;93;92;93;92;93;1J;0J;0V;0I;0H;0I;66;10;;;;55;19;31;18;17;18;222;36;;;;86;50;62;49;48;49;253;67;;;;0;0
149;1DD0000101;*;42;1K1R2A2B1Q1R1Q1R1S1Q1R;W^qr]^]^_]^;0I1111290I0I0H652D;1DDp110üt;18;1;D;D;0;0;0;0;1;0;1;1;13;13;0;0;0;0;1;0;1;49;68;68;48;48;48;48;49;48;49;0B;0I;11;11;0H;0H;0H;0H;0I;0H;0I;1K;1R;2A;2B;1Q;1R;1Q;1R;1S;1Q;1R;11;18;37;37;17;17;17;17;18;17;18;56;63;82;83;62;63;62;63;64;62;63;42;49;68;68;48;48;48;48;49;48;49;87;94;113;114;93;94;93;94;95;93;94;0I;11;11;29;0I;0I;0H;65;2D;;;18;37;37;81;18;18;17;221;85;;;49;68;68;112;49;49;48;252;116;;;0;
150;1EC0000101;*;42;1K1R2B291Q1R1Q1R1S1Q1R;W^rp]^]^_]^;0I1210290I0I0H652D;1ECp110üt;18;1;E;C;0;0;0;0;1;0;1;1;14;12;0;0;0;0;1;0;1;49;69;67;48;48;48;48;49;48;49;0B;0I;12;10;0H;0H;0H;0H;0I;0H;0I;1K;1R;2B;29;1Q;1R;1Q;1R;1S;1Q;1R;11;18;38;36;17;17;17;17;18;17;18;56;63;83;81;62;63;62;63;64;62;63;42;49;69;67;48;48;48;48;49;48;49;87;94;114;112;93;94;93;94;95;93;94;0I;12;10;29;0I;0I;0H;65;2D;;;18;38;36;81;18;18;17;221;85;;;49;69;67;112;49;49;48;252;116;;;0;
151;1GA0000101;*;42;1K1R2D271Q1R1Q1R1S1Q1R;W^tn]^]^_]^;0I140Y290I0I0H652D;1GAp110üt;18;1;G;A;0;0;0;0;1;0;1;1;16;10;0;0;0;0;1;0;1;49;71;65;48;48;48;48;49;48;49;0B;0I;14;0Y;0H;0H;0H;0H;0I;0H;0I;1K;1R;2D;27;1Q;1R;1Q;1R;1S;1Q;1R;11;18;40;34;17;17;17;17;18;17;18;56;63;85;79;62;63;62;63;64;62;63;42;49;71;65;48;48;48;48;49;48;49;87;94;116;110;93;94;93;94;95;93;94;0I;14;0Y;29;0I;0I;0H;65;2D;;;18;40;34;81;18;18;17;221;85;;;49;71;65;112;49;49;48;252;116;;;0;
152;1O90000101;*;42;1K1R2L1Z1Q1R1Q1R1S1Q1R;W^|f]^]^_]^;0I1C0Q290I0I0H652D;1O9p110üt;18;1;O;9;0;0;0;0;1;0;1;1;24;9;0;0;0;0;1;0;1;49;79;57;48;48;48;48;49;48;49;0B;0I;1C;0Q;0H;0H;0H;0H;0I;0H;0I;1K;1R;2L;1Z;1Q;1R;1Q;1R;1S;1Q;1R;11;18;48;26;17;17;17;17;18;17;18;56;63;93;71;62;63;62;63;64;62;63;42;49;79;57;48;48;48;48;49;48;49;87;94;124;102;93;94;93;94;95;93;94;0I;1C;0Q;29;0I;0I;0H;65;2D;;;18;48;26;81;18;18;17;221;85;;;49;79;57;112;49;49;48;252;116;;;0;
153;1P80000101;*;42;1K1R2M1Y1Q1R1Q1R1S1Q1R;W^}e]^]^_]^;0I1D0P290I0I0H652D;1P8p110üt;18;1;P;8;0;0;0;0;1;0;1;1;25;8;0;0;0;0;1;0;1;49;80;56;48;48;48;48;49;48;49;0B;0I;1D;0P;0H;0H;0H;0H;0I;0H;0I;1K;1R;2M;1Y;1Q;1R;1Q;1R;1S;1Q;1R;11;18;49;25;17;17;17;17;18;17;18;56;63;94;70;62;63;62;63;64;62;63;42;49;80;56;48;48;48;48;49;48;49;87;94;125;101;93;94;93;94;95;93;94;0I;1D;0P;29;0I;0I;0H;65;2D;;;18;49;25;81;18;18;17;221;85;;;49;80;56;112;49;49;48;252;116;;;0;
154;1Q70000101;*;42;1K1R2N1X1Q1R1Q1R1S1Q1R;W^~d]^]^_]^;0I1E0O290I0I0H652D;1Q7p110üt;18;1;Q;7;0;0;0;0;1;0;1;1;26;7;0;0;0;0;1;0;1;49;81;55;48;48;48;48;49;48;49;0B;0I;1E;0O;0H;0H;0H;0H;0I;0H;0I;1K;1R;2N;1X;1Q;1R;1Q;1R;1S;1Q;1R;11;18;50;24;17;17;17;17;18;17;18;56;63;95;69;62;63;62;63;64;62;63;42;49;81;55;48;48;48;48;49;48;49;87;94;126;100;93;94;93;94;95;93;94;0I;1E;0O;29;0I;0I;0H;65;2D;;;18;50;24;81;18;18;17;221;85;;;49;81;55;112;49;49;48;252;116;;;0;
155;1R60000101;*;42;1K1R2O1W1Q1R1Q1R1S1Q1R;W^c]^]^_]^;0I1F0N290I0I0H652D;1R6p110üt;18;1;R;6;0;0;0;0;1;0;1;1;27;6;0;0;0;0;1;0;1;49;82;54;48;48;48;48;49;48;49;0B;0I;1F;0N;0H;0H;0H;0H;0I;0H;0I;1K;1R;2O;1W;1Q;1R;1Q;1R;1S;1Q;1R;11;18;51;23;17;17;17;17;18;17;18;56;63;96;68;62;63;62;63;64;62;63;42;49;82;54;48;48;48;48;49;48;49;87;94;127;99;93;94;93;94;95;93;94;0I;1F;0N;29;0I;0I;0H;65;2D;;;18;51;23;81;18;18;17;221;85;;;49;82;54;112;49;49;48;252;116;;;0;
156;1S50000101;*;42;1K1R2P1V1Q1R1Q1R1S1Q1R;W^€b]^]^_]^;0I1G0M290I0I0H652D;1S5p110üt;18;1;S;5;0;0;0;0;1;0;1;1;28;5;0;0;0;0;1;0;1;49;83;53;48;48;48;48;49;48;49;0B;0I;1G;0M;0H;0H;0H;0H;0I;0H;0I;1K;1R;2P;1V;1Q;1R;1Q;1R;1S;1Q;1R;11;18;52;22;17;17;17;17;18;17;18;56;63;97;67;62;63;62;63;64;62;63;42;49;83;53;48;48;48;48;49;48;49;87;94;128;98;93;94;93;94;95;93;94;0I;1G;0M;29;0I;0I;0H;65;2D;;;18;52;22;81;18;18;17;221;85;;;49;83;53;112;49;49;48;252;116;;;0;
157;1U30000101;*;42;1K1R2R1T1Q1R1Q1R1S1Q1R;W^‚`]^]^_]^;0I1I0K290I0I0H652D;1U3p110üt;18;1;U;3;0;0;0;0;1;0;1;1;30;3;0;0;0;0;1;0;1;49;85;51;48;48;48;48;49;48;49;0B;0I;1I;0K;0H;0H;0H;0H;0I;0H;0I;1K;1R;2R;1T;1Q;1R;1Q;1R;1S;1Q;1R;11;18;54;20;17;17;17;17;18;17;18;56;63;99;65;62;63;62;63;64;62;63;42;49;85;51;48;48;48;48;49;48;49;87;94;130;96;93;94;93;94;95;93;94;0I;1I;0K;29;0I;0I;0H;65;2D;;;18;54;20;81;18;18;17;221;85;;;49;85;51;112;49;49;48;252;116;;;0;
158;2FA0000101;*;42;1K1S2C271Q1R1Q1R1S1Q1R;W_sn]^]^_]^;0J130Y290I0I0H652D;2FAp110üt;18;2;F;A;0;0;0;0;1;0;1;2;15;10;0;0;0;0;1;0;1;50;70;65;48;48;48;48;49;48;49;0B;0J;13;0Y;0H;0H;0H;0H;0I;0H;0I;1K;1S;2C;27;1Q;1R;1Q;1R;1S;1Q;1R;11;19;39;34;17;17;17;17;18;17;18;56;64;84;79;62;63;62;63;64;62;63;42;50;70;65;48;48;48;48;49;48;49;87;95;115;110;93;94;93;94;95;93;94;0J;13;0Y;29;0I;0I;0H;65;2D;;;19;39;34;81;18;18;17;221;85;;;50;70;65;112;49;49;48;252;116;;;0;
159;2P70000101;*;42;1K1S2M1X1Q1R1Q1R1S1Q1R;W_}d]^]^_]^;0J1D0O290I0I0H652D;2P7p110üt;18;2;P;7;0;0;0;0;1;0;1;2;25;7;0;0;0;0;1;0;1;50;80;55;48;48;48;48;49;48;49;0B;0J;1D;0O;0H;0H;0H;0H;0I;0H;0I;1K;1S;2M;1X;1Q;1R;1Q;1R;1S;1Q;1R;11;19;49;24;17;17;17;17;18;17;18;56;64;94;69;62;63;62;63;64;62;63;42;50;80;55;48;48;48;48;49;48;49;87;95;125;100;93;94;93;94;95;93;94;0J;1D;0O;29;0I;0I;0H;65;2D;;;19;49;24;81;18;18;17;221;85;;;50;80;55;112;49;49;48;252;116;;;0;
160;2V10000101;*;42;1K1S2S1R1Q1R1Q1R1S1Q1R;W_^]^]^_]^;0J1J0I290I0I0H652D;2V1p110üt;18;2;V;1;0;0;0;0;1;0;1;2;31;1;0;0;0;0;1;0;1;50;86;49;48;48;48;48;49;48;49;0B;0J;1J;0I;0H;0H;0H;0H;0I;0H;0I;1K;1S;2S;1R;1Q;1R;1Q;1R;1S;1Q;1R;11;19;55;18;17;17;17;17;18;17;18;56;64;100;63;62;63;62;63;64;62;63;42;50;86;49;48;48;48;48;49;48;49;87;95;131;94;93;94;93;94;95;93;94;0J;1J;0I;29;0I;0I;0H;65;2D;;;19;55;18;81;18;18;17;221;85;;;50;86;49;112;49;49;48;252;116;;;0;
161;5S10000101;*;42;1K1V2P1R1Q1R1Q1R1S1Q1R;Wb€^]^]^_]^;0M1G0I290I0I0H652D;5S1p110üt;18;5;S;1;0;0;0;0;1;0;1;5;28;1;0;0;0;0;1;0;1;53;83;49;48;48;48;48;49;48;49;0B;0M;1G;0I;0H;0H;0H;0H;0I;0H;0I;1K;1V;2P;1R;1Q;1R;1Q;1R;1S;1Q;1R;11;22;52;18;17;17;17;17;18;17;18;56;67;97;63;62;63;62;63;64;62;63;42;53;83;49;48;48;48;48;49;48;49;87;98;128;94;93;94;93;94;95;93;94;0M;1G;0I;29;0I;0I;0H;65;2D;;;22;52;18;81;18;18;17;221;85;;;53;83;49;112;49;49;48;252;116;;;0;
162;U3YRJ00101;*;42;1K2R1T2V2O2G1Q1R1S1Q1R;W‚`†w]^_]^;1I0K1M1F170N0I0I0H630P0;U3YRJ6110ú8;23;U;3;Y;R;J;0;0;1;0;1;30;3;34;27;19;0;0;1;0;1;85;51;89;82;74;48;48;49;48;49;0B;1I;0K;1M;1F;17;0H;0H;0I;0H;0I;1K;2R;1T;2V;2O;2G;1Q;1R;1S;1Q;1R;11;54;20;58;51;43;17;17;18;17;18;56;99;65;103;96;88;62;63;64;62;63;42;85;51;89;82;74;48;48;49;48;49;87;130;96;134;127;119;93;94;95;93;94;1I;0K;1M;1F;17;0N;0I;0I;0H;63;0P;54;20;58;51;43;23;18;18;17;219;25;85;51;89;82;74;54;49;49;48;250;56;0;0
163;U400000101;*;42;1K2R1U1Q1R1Q1R1Q1R1Q1R;W‚a]^]^]^]^;1I0L0W0I0I0H66110;U4?110ýD;17;U;4;0;0;0;0;0;1;0;1;30;4;0;0;0;0;0;1;0;1;85;52;48;48;48;48;48;49;48;49;0B;1I;0L;0H;0H;0H;0H;0H;0I;0H;0I;1K;2R;1U;1Q;1R;1Q;1R;1Q;1R;1Q;1R;11;54;21;17;17;17;17;17;18;17;18;56;99;66;62;63;62;63;62;63;62;63;42;85;52;48;48;48;48;48;49;48;49;87;130;97;93;94;93;94;93;94;93;94;1I;0L;0W;0I;0I;0H;66;11;;;;54;21;32;18;18;17;222;37;;;;85;52;63;49;49;48;253;68;;;;0;0
164;VBLOJ00101;*;42;1K2S282I2L2G1Q1R1S1Q1R;Woy|w]^_]^;1J0Z191C170N0I0I0H630P0;VBLOJ6110ú8;23;V;B;L;O;J;0;0;1;0;1;31;11;21;24;19;0;0;1;0;1;86;66;76;79;74;48;48;49;48;49;0B;1J;0Z;19;1C;17;0H;0H;0I;0H;0I;1K;2S;28;2I;2L;2G;1Q;1R;1S;1Q;1R;11;55;35;45;48;43;17;17;18;17;18;56;100;80;90;93;88;62;63;64;62;63;42;86;66;76;79;74;48;48;49;48;49;87;131;111;121;124;119;93;94;95;93;94;1J;0Z;19;1C;17;0N;0I;0I;0H;63;0P;55;35;45;48;43;23;18;18;17;219;25;86;66;76;79;74;54;49;49;48;250;56;0;0
165;W200000101;*;42;1K2T1S1Q1R1Q1R1Q1R1Q1R;W„_]^]^]^]^;1K0J0W0I0I0H66110;W2?110ýD;17;W;2;0;0;0;0;0;1;0;1;32;2;0;0;0;0;0;1;0;1;87;50;48;48;48;48;48;49;48;49;0B;1K;0J;0H;0H;0H;0H;0H;0I;0H;0I;1K;2T;1S;1Q;1R;1Q;1R;1Q;1R;1Q;1R;11;56;19;17;17;17;17;17;18;17;18;56;101;64;62;63;62;63;62;63;62;63;42;87;50;48;48;48;48;48;49;48;49;87;132;95;93;94;93;94;93;94;93;94;1K;0J;0W;0I;0I;0H;66;11;;;;56;19;32;18;18;17;222;37;;;;87;50;63;49;49;48;253;68;;;;0;0
166;1HA0000101;+;43;1M1S2F281R1S1R1S1T1R1S;Y_vo^_^_`^_;0I150Y2A0I0H0I652E;1HAq101üu;18;1;H;A;0;0;0;0;1;0;1;1;17;10;0;0;0;0;1;0;1;49;72;65;48;48;48;48;49;48;49;0C;0I;15;0Y;0H;0H;0H;0H;0I;0H;0I;1M;1S;2F;28;1R;1S;1R;1S;1T;1R;1S;12;18;41;34;17;17;17;17;18;17;18;58;64;87;80;63;64;63;64;65;63;64;43;49;72;65;48;48;48;48;49;48;49;89;95;118;111;94;95;94;95;96;94;95;0I;15;0Y;2A;0I;0H;0I;65;2E;;;18;41;34;82;18;17;18;221;86;;;49;72;65;113;49;48;49;252;117;;;0;
167;1P90000101;+;43;1M1S2N201R1S1R1S1T1R1S;Y_~g^_^_`^_;0I1D0Q2A0I0H0I652E;1P9q101üu;18;1;P;9;0;0;0;0;1;0;1;1;25;9;0;0;0;0;1;0;1;49;80;57;48;48;48;48;49;48;49;0C;0I;1D;0Q;0H;0H;0H;0H;0I;0H;0I;1M;1S;2N;20;1R;1S;1R;1S;1T;1R;1S;12;18;49;26;17;17;17;17;18;17;18;58;64;95;72;63;64;63;64;65;63;64;43;49;80;57;48;48;48;48;49;48;49;89;95;126;103;94;95;94;95;96;94;95;0I;1D;0Q;2A;0I;0H;0I;65;2E;;;18;49;26;82;18;17;18;221;86;;;49;80;57;113;49;48;49;252;117;;;0;
168;1T50000101;+;43;1M1S2R1W1R1S1R1S1T1R1S;Y_‚c^_^_`^_;0I1H0M2A0I0H0I652E;1T5q101üu;18;1;T;5;0;0;0;0;1;0;1;1;29;5;0;0;0;0;1;0;1;49;84;53;48;48;48;48;49;48;49;0C;0I;1H;0M;0H;0H;0H;0H;0I;0H;0I;1M;1S;2R;1W;1R;1S;1R;1S;1T;1R;1S;12;18;53;22;17;17;17;17;18;17;18;58;64;99;68;63;64;63;64;65;63;64;43;49;84;53;48;48;48;48;49;48;49;89;95;130;99;94;95;94;95;96;94;95;0I;1H;0M;2A;0I;0H;0I;65;2E;;;18;53;22;82;18;17;18;221;86;;;49;84;53;113;49;48;49;252;117;;;0;
169;1U40000101;+;43;1M1S2S1V1R1S1R1S1T1R1S;Y_b^_^_`^_;0I1I0L2A0I0H0I652E;1U4q101üu;18;1;U;4;0;0;0;0;1;0;1;1;30;4;0;0;0;0;1;0;1;49;85;52;48;48;48;48;49;48;49;0C;0I;1I;0L;0H;0H;0H;0H;0I;0H;0I;1M;1S;2S;1V;1R;1S;1R;1S;1T;1R;1S;12;18;54;21;17;17;17;17;18;17;18;58;64;100;67;63;64;63;64;65;63;64;43;49;85;52;48;48;48;48;49;48;49;89;95;131;98;94;95;94;95;96;94;95;0I;1I;0L;2A;0I;0H;0I;65;2E;;;18;54;21;82;18;17;18;221;86;;;49;85;52;113;49;48;49;252;117;;;0;
170;2O90000101;+;43;1M1T2M201R1S1R1S1T1R1S;Y`}g^_^_`^_;0J1C0Q2A0I0H0I652E;2O9q101üu;18;2;O;9;0;0;0;0;1;0;1;2;24;9;0;0;0;0;1;0;1;50;79;57;48;48;48;48;49;48;49;0C;0J;1C;0Q;0H;0H;0H;0H;0I;0H;0I;1M;1T;2M;20;1R;1S;1R;1S;1T;1R;1S;12;19;48;26;17;17;17;17;18;17;18;58;65;94;72;63;64;63;64;65;63;64;43;50;79;57;48;48;48;48;49;48;49;89;96;125;103;94;95;94;95;96;94;95;0J;1C;0Q;2A;0I;0H;0I;65;2E;;;19;48;26;82;18;17;18;221;86;;;50;79;57;113;49;48;49;252;117;;;0;
171;2P80000101;+;43;1M1T2N1Z1R1S1R1S1T1R1S;Y`~f^_^_`^_;0J1D0P2A0I0H0I652E;2P8q101üu;18;2;P;8;0;0;0;0;1;0;1;2;25;8;0;0;0;0;1;0;1;50;80;56;48;48;48;48;49;48;49;0C;0J;1D;0P;0H;0H;0H;0H;0I;0H;0I;1M;1T;2N;1Z;1R;1S;1R;1S;1T;1R;1S;12;19;49;25;17;17;17;17;18;17;18;58;65;95;71;63;64;63;64;65;63;64;43;50;80;56;48;48;48;48;49;48;49;89;96;126;102;94;95;94;95;96;94;95;0J;1D;0P;2A;0I;0H;0I;65;2E;;;19;49;25;82;18;17;18;221;86;;;50;80;56;113;49;48;49;252;117;;;0;
172;2S50000101;+;43;1M1T2Q1W1R1S1R1S1T1R1S;Y`c^_^_`^_;0J1G0M2A0I0H0I652E;2S5q101üu;18;2;S;5;0;0;0;0;1;0;1;2;28;5;0;0;0;0;1;0;1;50;83;53;48;48;48;48;49;48;49;0C;0J;1G;0M;0H;0H;0H;0H;0I;0H;0I;1M;1T;2Q;1W;1R;1S;1R;1S;1T;1R;1S;12;19;52;22;17;17;17;17;18;17;18;58;65;98;68;63;64;63;64;65;63;64;43;50;83;53;48;48;48;48;49;48;49;89;96;129;99;94;95;94;95;96;94;95;0J;1G;0M;2A;0I;0H;0I;65;2E;;;19;52;22;82;18;17;18;221;86;;;50;83;53;113;49;48;49;252;117;;;0;
173;3P70000101;+;43;1M1U2N1Y1R1S1R1S1T1R1S;Ya~e^_^_`^_;0K1D0O2A0I0H0I652E;3P7q101üu;18;3;P;7;0;0;0;0;1;0;1;3;25;7;0;0;0;0;1;0;1;51;80;55;48;48;48;48;49;48;49;0C;0K;1D;0O;0H;0H;0H;0H;0I;0H;0I;1M;1U;2N;1Y;1R;1S;1R;1S;1T;1R;1S;12;20;49;24;17;17;17;17;18;17;18;58;66;95;70;63;64;63;64;65;63;64;43;51;80;55;48;48;48;48;49;48;49;89;97;126;101;94;95;94;95;96;94;95;0K;1D;0O;2A;0I;0H;0I;65;2E;;;20;49;24;82;18;17;18;221;86;;;51;80;55;113;49;48;49;252;117;;;0;
174;3V10000101;+;43;1M1U2T1S1R1S1R1S1T1R1S;Ya„_^_^_`^_;0K1J0I2A0I0H0I652E;3V1q101üu;18;3;V;1;0;0;0;0;1;0;1;3;31;1;0;0;0;0;1;0;1;51;86;49;48;48;48;48;49;48;49;0C;0K;1J;0I;0H;0H;0H;0H;0I;0H;0I;1M;1U;2T;1S;1R;1S;1R;1S;1T;1R;1S;12;20;55;18;17;17;17;17;18;17;18;58;66;101;64;63;64;63;64;65;63;64;43;51;86;49;48;48;48;48;49;48;49;89;97;132;95;94;95;94;95;96;94;95;0K;1J;0I;2A;0I;0H;0I;65;2E;;;20;55;18;82;18;17;18;221;86;;;51;86;49;113;49;48;49;252;117;;;0;
175;EXCTJ00101;+;43;1M2C2V2A2R2H1R1S1T1R1S;Ys†q‚x^_`^_;121L101H170O0I0H0I630Q0;EXCTJ7101ú9;23;E;X;C;T;J;0;0;1;0;1;14;33;12;29;19;0;0;1;0;1;69;88;67;84;74;48;48;49;48;49;0C;12;1L;10;1H;17;0H;0H;0I;0H;0I;1M;2C;2V;2A;2R;2H;1R;1S;1T;1R;1S;12;38;57;36;53;43;17;17;18;17;18;58;84;103;82;99;89;63;64;65;63;64;43;69;88;67;84;74;48;48;49;48;49;89;115;134;113;130;120;94;95;96;94;95;12;1L;10;1H;17;0O;0I;0H;0I;63;0Q;38;57;36;53;43;24;18;17;18;219;26;69;88;67;84;74;55;49;48;49;250;57;0;0
176;VAONJ00101;+;43;1M2T282M2L2H1R1S1T1R1S;Y„o}|x^_`^_;1J0Y1C1B170O0I0H0I630Q0;VAONJ7101ú9;23;V;A;O;N;J;0;0;1;0;1;31;10;24;23;19;0;0;1;0;1;86;65;79;78;74;48;48;49;48;49;0C;1J;0Y;1C;1B;17;0H;0H;0I;0H;0I;1M;2T;28;2M;2L;2H;1R;1S;1T;1R;1S;12;55;34;48;47;43;17;17;18;17;18;58;101;80;94;93;89;63;64;65;63;64;43;86;65;79;78;74;48;48;49;48;49;89;132;111;125;124;120;94;95;96;94;95;1J;0Y;1C;1B;17;0O;0I;0H;0I;63;0Q;55;34;48;47;43;24;18;17;18;219;26;86;65;79;78;74;55;49;48;49;250;57;0;0
177;X200000101;+;43;1M2V1T1R1S1R1S1R1S1R1S;Y†`^_^_^_^_;1L0J0X0I0H0I66120;X2@101ýE;17;X;2;0;0;0;0;0;1;0;1;33;2;0;0;0;0;0;1;0;1;88;50;48;48;48;48;48;49;48;49;0C;1L;0J;0H;0H;0H;0H;0H;0I;0H;0I;1M;2V;1T;1R;1S;1R;1S;1R;1S;1R;1S;12;57;19;17;17;17;17;17;18;17;18;58;103;65;63;64;63;64;63;64;63;64;43;88;50;48;48;48;48;48;49;48;49;89;134;96;94;95;94;95;94;95;94;95;1L;0J;0X;0I;0H;0I;66;12;;;;57;19;33;18;17;18;222;38;;;;88;50;64;49;48;49;253;69;;;;0;0
